time,x,y,yaw,vx,vy,yaw_rate,lat_accel_g,FL,FR,RL,RR
0.63,19.3113,0,0,32.1836,0,0,0,2734.71,2734.71,2835.9,2835.9
0.64,19.6336,0,0,32.265,0,0,0,2734.14,2734.14,2844.85,2844.85
0.65,19.9567,0,0,32.3478,0,0,0,2733.66,2733.66,2853.88,2853.88
0.66,20.2806,0,0,32.4321,0,0,0,2733.26,2733.26,2862.99,2862.99
0.67,20.6054,0,0,32.5178,0,0,0,2732.96,2732.96,2872.18,2872.18
0.68,20.9311,0,0,32.6049,0,0,0,2732.75,2732.75,2881.45,2881.45
0.69,21.2576,0,0,32.6934,0,0,0,2732.63,2732.63,2890.8,2890.8
0.7,21.5851,0,0,32.7834,0,0,0,2732.61,2732.61,2900.23,2900.23
0.71,21.9134,0,0,32.8748,0,0,0,2732.67,2732.67,2909.75,2909.75
0.72,22.2426,0,0,32.9676,0,0,0,2732.83,2732.83,2919.35,2919.35
0.73,22.5728,0,0,33.0618,0,0,0,2733.09,2733.09,2929.03,2929.03
0.74,22.904,0,0,33.1575,0,0,0,2733.43,2733.43,2938.8,2938.8
0.75,23.2361,0,0,33.2545,0,0,0,2733.88,2733.88,2948.65,2948.65
0.76,23.5692,0,0,33.353,0,0,0,2734.41,2734.41,2958.59,2958.59
0.77,23.9033,0,0,33.4529,0,0,0,2735.05,2735.05,2968.62,2968.62
0.78,24.2383,0,0,33.5542,0,0,0,2735.78,2735.78,2978.73,2978.73
0.79,24.5744,0,0,33.6569,0,0,0,2736.61,2736.61,2988.92,2988.92
0.8,24.9116,0,0,33.761,0,0,0,2737.54,2737.54,2999.21,2999.21
0.81,25.2498,0,0,33.8657,0,0,0,2738.52,2738.52,3009.55,3009.55
0.82,25.589,0,0,33.9708,0,0,0,2739.55,2739.55,3019.92,3019.92
0.83,25.9293,0,0,34.0762,0,0,0,2740.61,2740.61,3030.32,3030.32
0.84,26.2706,0,0,34.1818,0,0,0,2741.71,2741.71,3040.76,3040.76
0.85,26.613,0,0,34.2879,0,0,0,2742.84,2742.84,3051.23,3051.23
0.86,26.9565,0,0,34.3942,0,0,0,2744.02,2744.02,3061.74,3061.74
0.87,27.301,0,0,34.5009,0,0,0,2745.23,2745.23,3072.28,3072.28
0.88,27.6466,0,0,34.6078,0,0,0,2746.48,2746.48,3082.85,3082.85
0.89,27.9933,0,0,34.7151,0,0,0,2747.77,2747.77,3093.45,3093.45
0.9,28.341,0,0,34.8228,0,0,0,2749.09,2749.09,3104.1,3104.1
0.91,28.6899,0,0,34.9307,0,0,0,2750.46,2750.46,3114.77,3114.77
0.92,29.0398,0,0,35.039,0,0,0,2751.86,2751.86,3125.48,3125.48
0.93,29.3907,0,0,35.1476,0,0,0,2753.31,2753.31,3136.23,3136.23
0.94,29.7428,0,0,35.2565,0,0,0,2754.79,2754.79,3147.01,3147.01
0.95,30.096,0,0,35.3658,0,0,0,2756.31,2756.31,3157.82,3157.82
0.96,30.4502,0,0,35.4753,0,0,0,2757.87,2757.87,3168.67,3168.67
0.97,30.8056,0,0,35.5852,0,0,0,2759.47,2759.47,3179.56,3179.56
0.98,31.1621,0,0,35.6955,0,0,0,2761.12,2761.12,3190.48,3190.48
0.99,31.5196,0,0,35.806,0,0,0,2762.8,2762.8,3201.44,3201.44
1,31.8783,0,0,35.9169,0,0,0,2765.02,2765.02,3211.93,3211.93
1.01,32.2381,0,0,36.028,0,0,0,2771.78,2771.78,3217.96,3217.96
1.02,32.599,0,0,36.1393,0,0,0,2778.57,2778.57,3224.01,3224.01
1.03,32.961,0,0,36.2506,0,0,0,2785.38,2785.38,3230.09,3230.09
1.04,33.3241,0,0,36.3621,0,0,0,2792.23,2792.23,3236.19,3236.19
1.05,33.6883,0,0,36.4738,0,0,0,2799.1,2799.1,3242.32,3242.32
1.06,34.0537,0,0,36.5855,0,0,0,2806.01,2806.01,3248.48,3248.48
1.07,34.4202,0,0,36.6974,0,0,0,2812.94,2812.94,3254.66,3254.66
1.08,34.7877,0,0,36.8095,0,0,0,2819.9,2819.9,3260.87,3260.87
1.09,35.1565,0,0,36.9216,0,0,0,2826.9,2826.9,3267.1,3267.1
1.1,35.5263,0,0,37.0339,0,0,0,2833.92,2833.92,3273.36,3273.36
1.11,35.8972,0,0,37.1464,0,0,0,2840.97,2840.97,3279.65,3279.65
1.12,36.2693,0,0,37.259,0,0,0,2848.05,2848.05,3285.96,3285.96
1.13,36.6425,0,0,37.3717,0,0,0,2855.16,2855.16,3292.31,3292.31
1.14,37.0169,0,0,37.4846,0,0,0,2862.31,2862.31,3298.67,3298.67
1.15,37.3923,0,0,37.5975,0,0,0,2869.48,2869.48,3305.07,3305.07
1.16,37.7689,0,0,37.7107,0,0,0,2876.68,2876.68,3311.49,3311.49
1.17,38.1467,0,0,37.824,0,0,0,2883.92,2883.92,3317.94,3317.94
1.18,38.5255,0,0,37.9374,0,0,0,2891.18,2891.18,3324.42,3324.42
1.19,38.9055,0,0,38.0509,0,0,0,2898.48,2898.48,3330.93,3330.93
1.2,39.2867,0,0,38.1646,0,0,0,2905.81,2905.81,3337.46,3337.46
1.21,39.6689,0,0,38.2785,0,0,0,2913.16,2913.16,3344.02,3344.02
1.22,40.0524,0,0,38.3925,0,0,0,2920.55,2920.55,3350.61,3350.61
1.23,40.4369,0,0,38.5066,0,0,0,2927.97,2927.97,3357.22,3357.22
1.24,40.8226,0,0,38.6209,0,0,0,2935.43,2935.43,3363.87,3363.87
1.25,41.2094,0,0,38.7353,0,0,0,2942.91,2942.91,3370.54,3370.54
1.26,41.5974,0,0,38.8499,0,0,0,2950.42,2950.42,3377.24,3377.24
1.27,41.9865,0,0,38.9646,0,0,0,2957.97,2957.97,3383.97,3383.97
1.28,42.3768,0,0,39.0795,0,0,0,2965.55,2965.55,3390.73,3390.73
1.29,42.7683,0,0,39.1945,0,0,0,2973.16,2973.16,3397.52,3397.52
1.3,43.1608,0,0,39.3096,0,0,0,2980.81,2980.81,3404.33,3404.33
1.31,43.5546,0,0,39.4249,0,0,0,2988.48,2988.48,3411.18,3411.18
1.32,43.9494,0,0,39.5404,0,0,0,2996.19,2996.19,3418.05,3418.05
1.33,44.3455,0,0,39.656,0,0,0,3003.93,3003.93,3424.95,3424.95
1.34,44.7427,0,0,39.7718,0,0,0,3011.7,3011.7,3431.88,3431.88
1.35,45.141,0,0,39.8877,0,0,0,3019.51,3019.51,3438.84,3438.84
1.36,45.5406,0,0,40.0038,0,0,0,3027.35,3027.35,3445.83,3445.83
1.37,45.9412,0,0,40.12,0,0,0,3035.22,3035.22,3452.85,3452.85
1.38,46.3431,0,0,40.2363,0,0,0,3043.13,3043.13,3459.9,3459.9
1.39,46.7461,0,0,40.3529,0,0,0,3051.07,3051.07,3466.98,3466.98
1.4,47.1502,0,0,40.4695,0,0,0,3059.04,3059.04,3474.09,3474.09
1.41,47.5556,0,0,40.5864,0,0,0,3067.05,3067.05,3481.23,3481.23
1.42,47.9621,0,0,40.7034,0,0,0,3075.09,3075.09,3488.4,3488.4
1.43,48.3698,0,0,40.8205,0,0,0,3083.16,3083.16,3495.6,3495.6
1.44,48.7786,0,0,40.9378,0,0,0,3091.27,3091.27,3502.83,3502.83
1.45,49.1886,0,0,41.0553,0,0,0,3099.42,3099.42,3510.09,3510.09
1.46,49.5998,0,0,41.1729,0,0,0,3107.59,3107.59,3517.38,3517.38
1.47,50.0122,0,0,41.2907,0,0,0,3115.81,3115.81,3524.7,3524.7
1.48,50.4258,0,0,41.4086,0,0,0,3124.05,3124.05,3532.05,3532.05
1.49,50.8405,0,0,41.5267,0,0,0,3132.33,3132.33,3539.44,3539.44
1.5,51.2564,0,0,41.645,0,0,0,3140.65,3140.65,3546.85,3546.85
1.51,51.6735,0,0,41.7634,0,0,0,3149,3149,3554.3,3554.3
1.52,52.0918,0,0,41.882,0,0,0,3157.39,3157.39,3561.78,3561.78
1.53,52.5113,0,0,42.0008,0,0,0,3165.81,3165.81,3569.29,3569.29
1.54,52.9319,0,0,42.1197,0,0,0,3174.27,3174.27,3576.83,3576.83
1.55,53.3538,0,0,42.2388,0,0,0,3182.76,3182.76,3584.4,3584.4
1.56,53.7768,0,0,42.358,0,0,0,3191.29,3191.29,3592,3592
1.57,54.2011,0,0,42.4774,0,0,0,3199.85,3199.85,3599.64,3599.64
1.58,54.6265,0,0,42.597,0,0,0,3208.46,3208.46,3607.31,3607.31
1.59,55.0531,0,0,42.7167,0,0,0,3217.09,3217.09,3615.01,3615.01
1.6,55.481,0,0,42.8367,0,0,0,3225.77,3225.77,3622.75,3622.75
1.61,55.91,0,0,42.9568,0,0,0,3234.48,3234.48,3630.51,3630.51
1.62,56.3402,0,0,43.077,0,0,0,3243.23,3243.23,3638.31,3638.31
1.63,56.7717,0,0,43.1974,0,0,0,3252.01,3252.01,3646.14,3646.14
1.64,57.2043,0,0,43.318,0,0,0,3260.83,3260.83,3654.01,3654.01
1.65,57.6381,0,0,43.4388,0,0,0,3269.69,3269.69,3661.91,3661.91
1.66,58.0732,0,0,43.5597,0,0,0,3278.59,3278.59,3669.84,3669.84
1.67,58.5095,0,0,43.6809,0,0,0,3287.52,3287.52,3677.8,3677.8
1.68,58.9469,0,0,43.8022,0,0,0,3296.49,3296.49,3685.8,3685.8
1.69,59.3856,0,0,43.9236,0,0,0,3305.5,3305.5,3693.84,3693.84
1.7,59.8255,0,0,44.0453,0,0,0,3314.55,3314.55,3701.9,3701.9
1.71,60.2666,0,0,44.1671,0,0,0,3323.63,3323.63,3710,3710
1.72,60.709,0,0,44.2891,0,0,0,3332.76,3332.76,3718.14,3718.14
1.73,61.1525,0,0,44.4112,0,0,0,3341.92,3341.92,3726.31,3726.31
1.74,61.5973,0,0,44.5336,0,0,0,3351.12,3351.12,3734.51,3734.51
1.75,62.0433,0,0,44.6561,0,0,0,3360.36,3360.36,3742.75,3742.75
1.76,62.4906,0,0,44.7788,0,0,0,3369.64,3369.64,3751.02,3751.02
1.77,62.939,0,0,44.9015,0,0,0,3378.94,3378.94,3759.32,3759.32
1.78,63.3887,0,0,45.024,0,0,0,3388.26,3388.26,3767.63,3767.63
1.79,63.8396,0,0,45.1464,0,0,0,3397.59,3397.59,3775.95,3775.95
1.8,64.2918,0,0,45.2686,0,0,0,3406.93,3406.93,3784.28,3784.28
1.81,64.7451,0,0,45.3907,0,0,0,3416.29,3416.29,3792.62,3792.62
1.82,65.1997,0,0,45.5126,0,0,0,3425.67,3425.67,3800.98,3800.98
1.83,65.6555,0,0,45.6343,0,0,0,3435.05,3435.05,3809.35,3809.35
1.84,66.1125,0,0,45.7559,0,0,0,3444.45,3444.45,3817.73,3817.73
1.85,66.5708,0,0,45.8774,0,0,0,3453.86,3453.86,3826.12,3826.12
1.86,67.0302,0,0,45.9987,0,0,0,3463.29,3463.29,3834.52,3834.52
1.87,67.4908,0,0,46.1198,0,0,0,3472.72,3472.72,3842.94,3842.94
1.88,67.9527,0,0,46.2408,0,0,0,3482.17,3482.17,3851.36,3851.36
1.89,68.4158,0,0,46.3616,0,0,0,3491.64,3491.64,3859.8,3859.8
1.9,68.8801,0,0,46.4823,0,0,0,3501.11,3501.11,3868.25,3868.25
1.91,69.3455,0,0,46.6028,0,0,0,3510.6,3510.6,3876.71,3876.71
1.92,69.8122,0,0,46.7232,0,0,0,3520.1,3520.1,3885.18,3885.18
1.93,70.2801,0,0,46.8434,0,0,0,3529.61,3529.61,3893.66,3893.66
1.94,70.7492,0,0,46.9635,0,0,0,3539.14,3539.14,3902.15,3902.15
1.95,71.2195,0,0,47.0834,0,0,0,3548.68,3548.68,3910.66,3910.66
1.96,71.691,0,0,47.2031,0,0,0,3558.22,3558.22,3919.17,3919.17
1.97,72.1637,0,0,47.3227,0,0,0,3567.78,3567.78,3927.7,3927.7
