time,x,y,yaw,vx,vy,yaw_rate,lat_accel_g
1.16,42.1946,0,0,42.976,0,0,0
1.17,42.6251,0,0,43.0962,0,0,0
1.18,43.0567,0,0,43.2167,0,0,0
1.19,43.4895,0,0,43.3373,0,0,0
1.2,43.9236,0,0,43.4581,0,0,0
1.21,44.3588,0,0,43.5791,0,0,0
1.22,44.7953,0,0,43.7002,0,0,0
1.23,45.2329,0,0,43.8215,0,0,0
1.24,45.6718,0,0,43.943,0,0,0
1.25,46.1119,0,0,44.0647,0,0,0
1.26,46.5532,0,0,44.1866,0,0,0
1.27,46.9958,0,0,44.3086,0,0,0
1.28,47.4395,0,0,44.4308,0,0,0
1.29,47.8845,0,0,44.5532,0,0,0
1.3,48.3307,0,0,44.6757,0,0,0
1.31,48.7781,0,0,44.7984,0,0,0
1.32,49.2268,0,0,44.9211,0,0,0
1.33,49.6767,0,0,45.0436,0,0,0
1.34,50.1278,0,0,45.1659,0,0,0
1.35,50.5801,0,0,45.2881,0,0,0
1.36,51.0337,0,0,45.4101,0,0,0
1.37,51.4885,0,0,45.532,0,0,0
1.38,51.9444,0,0,45.6538,0,0,0
1.39,52.4016,0,0,45.7753,0,0,0
1.4,52.8601,0,0,45.8968,0,0,0
1.41,53.3197,0,0,46.018,0,0,0
1.42,53.7806,0,0,46.1391,0,0,0
1.43,54.2426,0,0,46.2601,0,0,0
1.44,54.7059,0,0,46.3809,0,0,0
1.45,55.1703,0,0,46.5016,0,0,0
1.46,55.636,0,0,46.6221,0,0,0
1.47,56.1029,0,0,46.7424,0,0,0
1.48,56.571,0,0,46.8626,0,0,0
1.49,57.0403,0,0,46.9826,0,0,0
1.5,57.5108,0,0,47.1025,0,0,0
1.51,57.9824,0,0,47.2222,0,0,0
1.52,58.4553,0,0,47.3418,0,0,0
1.53,58.9294,0,0,47.4612,0,0,0
1.54,59.4047,0,0,47.5805,0,0,0
1.55,59.8811,0,0,47.6996,0,0,0
1.56,60.3588,0,0,47.8185,0,0,0
1.57,60.8376,0,0,47.9373,0,0,0
1.58,61.3176,0,0,48.0559,0,0,0
1.59,61.7989,0,0,48.1744,0,0,0
1.6,62.2813,0,0,48.2927,0,0,0
1.61,62.7648,0,0,48.4109,0,0,0
1.62,63.2496,0,0,48.5289,0,0,0
1.63,63.7355,0,0,48.6467,0,0,0
1.64,64.2226,0,0,48.7644,0,0,0
1.65,64.7109,0,0,48.8819,0,0,0
1.66,65.2004,0,0,48.9993,0,0,0
1.67,65.691,0,0,49.1165,0,0,0
1.68,66.1828,0,0,49.2335,0,0,0
1.69,66.6758,0,0,49.3504,0,0,0
1.7,67.17,0,0,49.4672,0,0,0
1.71,67.6653,0,0,49.5837,0,0,0
1.72,68.1618,0,0,49.7002,0,0,0
1.73,68.6594,0,0,49.8164,0,0,0
1.74,69.1582,0,0,49.9325,0,0,0
1.75,69.6582,0,0,50.0484,0,0,0
1.76,70.1593,0,0,50.1642,0,0,0
1.77,70.6616,0,0,50.2798,0,0,0
1.78,71.165,0,0,50.3953,0,0,0
1.79,71.6696,0,0,50.5106,0,0,0
1.8,72.1753,0,0,50.6257,0,0,0
1.81,72.6822,0,0,50.7407,0,0,0
1.82,73.1902,0,0,50.8555,0,0,0
1.83,73.6994,0,0,50.9702,0,0,0
1.84,74.2098,0,0,51.0847,0,0,0
1.85,74.7212,0,0,51.199,0,0,0
1.86,75.2339,0,0,51.3132,0,0,0
1.87,75.7476,0,0,51.4272,0,0,0
1.88,76.2625,0,0,51.541,0,0,0
1.89,76.7786,0,0,51.6547,0,0,0
1.9,77.2957,0,0,51.7682,0,0,0
1.91,77.814,0,0,51.8816,0,0,0
1.92,78.3335,0,0,51.9948,0,0,0
1.93,78.854,0,0,52.1078,0,0,0
1.94,79.3757,0,0,52.2207,0,0,0
1.95,79.8986,0,0,52.3334,0,0,0
1.96,80.4225,0,0,52.446,0,0,0
1.97,80.9476,0,0,52.5583,0,0,0
1.98,81.4738,0,0,52.6706,0,0,0
1.99,82.0011,0,0,52.7826,0,0,0
2,82.5296,0,0,52.8945,0,0,0
2.01,83.0591,0,0,53.0063,0,0,0
2.02,83.5898,0,0,53.1178,0,0,0
2.03,84.1216,0,0,53.2292,0,0,0
2.04,84.6545,0,0,53.3405,0,0,0
2.05,85.1885,0,0,53.4516,0,0,0
2.06,85.7236,0,0,53.5625,0,0,0
2.07,86.2599,0,0,53.6732,0,0,0
2.08,86.7972,0,0,53.7838,0,0,0
2.09,87.3357,0,0,53.8943,0,0,0
2.1,87.8752,0,0,54.0045,0,0,0
2.11,88.4159,0,0,54.1146,0,0,0
2.12,88.9576,0,0,54.2246,0,0,0
2.13,89.5005,0,0,54.3343,0,0,0
2.14,90.0444,0,0,54.4439,0,0,0
2.15,90.5894,0,0,54.5534,0,0,0
2.16,91.1356,0,0,54.6627,0,0,0
2.17,91.6828,0,0,54.7718,0,0,0
2.18,92.2311,0,0,54.8807,0,0,0
2.19,92.7805,0,0,54.9895,0,0,0
2.2,93.331,0,0,55.0981,0,0,0
2.21,93.8826,0,0,55.2066,0,0,0
2.22,94.4353,0,0,55.3149,0,0,0
2.23,94.989,0,0,55.423,0,0,0
2.24,95.5438,0,0,55.531,0,0,0
2.25,96.0997,0,0,55.6388,0,0,0
2.26,96.6567,0,0,55.7464,0,0,0
2.27,97.2148,0,0,55.8539,0,0,0
2.28,97.7739,0,0,55.9611,0,0,0
2.29,98.3341,0,0,56.0683,0,0,0
2.3,98.8954,0,0,56.1753,0,0,0
2.31,99.4577,0,0,56.2821,0,0,0
2.32,100.021,0,0,56.3887,0,0,0
2.33,100.586,0,0,56.4952,0,0,0
2.34,101.151,0,0,56.6015,0,0,0
2.35,101.718,0,0,56.7076,0,0,0
2.36,102.285,0,0,56.8136,0,0,0
2.37,102.854,0,0,56.9194,0,0,0
2.38,103.424,0,0,57.025,0,0,0
2.39,103.995,0,0,57.1305,0,0,0
2.4,104.567,0,0,57.2358,0,0,0
